Сага о Винланде / Vinland Saga,TV Сериал,24,R-17,8.77
Завтрашний Джо 2 / Ashita no Joe 2,TV Сериал,47,PG-13,8.77
Атака титанов: Финал. Часть 2 / Shingeki no Kyojin: The Final Season Part 2,TV Сериал,12,R-17,8.77
Волейбол!! 3 / Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV Сериал,10,PG-13,8.77
Первородный грех Такопи / Takopii no Genzai,ONA,6,R-17,8.76
Цикл историй: Второй сезон / Monogatari Series: Second Season,TV Сериал,26,R-17,8.76
Ковбой Бибоп / Cowboy Bebop,TV Сериал,26,R+,8.75
Одинокий рокер! / Bocchi the Rock!,TV Сериал,12,PG-13,8.74
Моя геройская академия: Финал / Boku no Hero Academia: Final Season,TV Сериал,11,PG-13,8.73
Царство 4 / Kingdom 4th Season,TV Сериал,26,R-17,8.73
Царство 5 / Kingdom 5th Season,TV Сериал,13,R-17,8.73
Ван-Пис / One Piece,TV Сериал,1155 / ?,PG-13,8.73
Магическая битва 2 / Jujutsu Kaisen 2nd Season,TV Сериал,23,R-17,8.72
Госпожа Кагуя: в любви как на войне — Первый поцелуй никогда не заканчивается / Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Фильм,1,PG-13,8.72
Мастер муси: Следующая глава 2 / Mushishi Zoku Shou 2nd Season,TV Сериал,10,PG-13,8.72
Восемьдесят шесть. Часть 2 / 86 Part 2,TV Сериал,12,R-17,8.72
О движении Земли / Chi. Chikyuu no Undou ni Tsuite,TV Сериал,25,R-17,8.71
"Звучи, эуфониум! 3 / Hibike! Euphonium 3",TV Сериал,13,PG-13,8.72
Агент времени / Shiguang Dailiren,ONA,11,PG-13,8.72
Быть героем Икс / Tu Bian Yingxiong X,ONA,24,PG-13,8.72
Первый слэм-данк / The First Slam Dunk,Фильм,1,PG-13,8.71
Дневник разных стран / Ikoku Nikki,TV Сериал,12 / 13,PG-13,8.71
Моб Психо 100 3 / Mob Psycho 100 III,TV Сериал,12,PG-13,8.71
